index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,,,3,3,,
3,2,,9,,3,,3,
4,,5,,,,3,,
5,4,6,11,,3,3,3,
6,5,,,,3,,,
7,,,13,,,,3,
8,,9,14,,,3,3,
9,8,10,15,3,3,3,3,3
10,9,,16,,3,,3,
11,,,17,5,,,3,3
12,,,18,,,,3,
13,,14,19,7,,3,3,3
14,13,,,8,3,,,3
15,,,21,9,,,3,3
16,,17,22,10,,3,3,3
17,16,18,23,11,3,3,3,3
18,17,,24,12,3,,3,3
19,,,,13,,,,3
20,,21,,,,3,,
21,20,,27,15,3,,3,3
22,,23,,16,,3,,3
23,22,24,,17,3,3,,3
24,23,,30,18,3,,3,3
25,,26,31,,,3,3,
26,25,27,,,3,3,,
27,26,28,,21,3,3,,3
28,27,29,,,3,3,,
29,28,30,35,,3,3,3,
30,29,,36,24,3,,3,3
31,,32,,25,,3,,3
32,31,33,38,,3,3,3,
33,32,34,,,3,3,,
34,33,35,40,,3,3,3,
35,34,36,41,29,3,3,3,3
36,35,,,30,3,,,3
37,,38,43,,,3,3,
38,37,39,44,32,3,3,3,3
39,38,,45,,3,,3,
40,,41,,34,,3,,3
41,40,42,47,35,3,3,3,3
42,41,,,,3,,,
43,,,,37,,,,3
44,,,,38,,,,3
45,,,,39,,,,3
46,,47,,,,3,,
47,46,48,,41,3,3,,3
48,47,,,,3,,,
